policy,avg_price,avg_price_delta_pct,avg_acceptance_probability,expected_accepted_rides,total_expected_revenue,avg_expected_revenue,price_std,surge_frequency_25pct,extreme_surge_frequency_50pct,customer_pain_index_pct,expected_revenue_lift_vs_historical_pct,acceptance_delta_vs_historical,price_delta_vs_historical_pct
Historical,372.5026233496332,0.0,0.5,500.0,186251.3116748166,186.2513116748166,187.1587562201799,0.0,0.0,0.0,0.0,0.0,0.0
demand_supply,612.9151949428002,64.79950792950059,0.13617533463053702,136.175334630537,70140.44720764781,70.14044720764781,330.92621693934535,81.69999999999999,60.4,64.79950792950059,-62.34096470144127,-0.363824665369463,64.53983315105792
ridge_model,373.3830496742392,3.2559999579163486,0.47564165958735205,475.641659587352,177738.95898938845,177.73895898938846,175.02992552755063,13.4,0.8999999999999999,9.075951199523455,-4.570358516610173,-0.02435834041264795,0.2363543957594141
