version,model_name,target_transform,mae,rmse,r2,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct,r2_lift_vs_baseline,rmse_delta_vs_v1,mae_delta_vs_v1,r2_delta_vs_v1
baseline,mean_price_baseline,none,160.96417751928144,191.15280997910116,-0.0021555706797884433,0.0,0.0,0.0,,,
v1,ridge,none,52.490689264901505,67.43534116798584,0.8752763276284111,67.3898316545532,64.72176308820227,0.8774318983081996,,,
v2,lasso,log,52.337105659492806,67.20080763218493,0.8761423725174811,67.485246428061,64.84445735350056,0.8782979431972695,-0.23453353580090663,-0.15358360540869853,0.000866044889069939
